Sample.Date,Region,Copies.mL,7.day.avg,Low.Confidence.Interval,High.Confidence.Interval
2020-07-13,Northern,32,31,10,15
2020-07-14,Southern,17,19,6,8
2020-07-14,Northern,32,30,10,15
2020-07-15,Southern,35,22,11,16
2020-07-15,Northern,30,30,9,14
2020-07-16,Southern,23,21,7,11
2020-07-16,Northern,25,31,8,11
2020-07-17,Southern,22,24,7,10
2020-07-17,Northern,43,32,14,20
2020-07-18,Southern,42,26,13,20
2020-07-18,Northern,26,32,8,12
2020-07-19,Southern,23,26,7,11
2020-07-19,Northern,14,27,5,7
2020-07-20,Southern,31,27,10,15
2020-07-20,Northern,20,26,6,9
2020-07-21,Southern,12,25,4,6
2020-07-21,Northern,17,24,5,8
2020-07-22,Southern,35,25,11,16
2020-07-22,Northern,28,23,9,13
2020-07-23,Southern,15,24,5,7
2020-07-23,Northern,23,23,7,11
2020-07-24,Southern,26,24,8,12
2020-07-24,Northern,57,24,18,26
2020-07-25,Southern,24,22,8,11
2020-07-25,Northern,41,26,13,19
2020-07-26,Southern,14,21,5,7
2020-07-26,Northern,33,29,10,15
2020-07-27,Southern,28,20,9,13
2020-07-27,Northern,31,31,10,14
2020-07-28,Southern,NA,22,0,0
2020-07-28,Northern,NA,34,0,0
2020-07-29,Southern,30,22,9,14
2020-07-29,Northern,24,33,8,11
2020-07-30,Southern,NA,24,0,0
2020-07-30,Northern,NA,35,0,0
2020-07-31,Southern,29,24,9,13
2020-07-31,Northern,81,38,25,37
2020-08-01,Southern,NA,24,0,0
2020-08-01,Northern,NA,37,0,0
2020-08-02,Southern,NA,29,0,0
2020-08-02,Northern,NA,39,0,0
2020-08-03,Southern,109,46,35,51
2020-08-03,Northern,109,59,34,50
2020-08-04,Southern,74,51,23,34
2020-08-04,Northern,47,56,15,22
2020-08-05,Southern,101,70,32,47
2020-08-05,Northern,43,65,14,20
2020-08-06,Southern,27,57,8,12
2020-08-06,Northern,48,61,15,22
2020-08-07,Southern,18,52,6,8
2020-08-07,Northern,41,53,13,19
2020-08-08,Southern,NA,52,0,0
2020-08-08,Northern,NA,53,0,0
2020-08-09,Southern,NA,52,0,0
2020-08-09,Northern,NA,53,0,0
2020-08-10,Southern,42,43,13,20
2020-08-10,Northern,62,48,20,29
2020-08-11,Southern,NA,38,0,0
2020-08-11,Northern,NA,48,0,0
2020-08-12,Southern,27,27,8,12
2020-08-12,Northern,57,52,18,27
2020-08-13,Southern,NA,27,0,0
2020-08-13,Northern,NA,53,0,0
2020-08-14,Southern,18,27,6,8
2020-08-14,Northern,45,55,14,21
2020-08-15,Southern,NA,27,0,0
2020-08-15,Northern,NA,55,0,0
2020-08-16,Southern,NA,27,0,0
2020-08-16,Northern,NA,55,0,0
2020-08-17,Southern,24,23,8,11
2020-08-17,Northern,44,48,14,20
2020-08-18,Southern,NA,23,0,0
2020-08-18,Northern,NA,48,0,0
2020-08-19,Southern,50,28,16,23
2020-08-19,Northern,87,56,27,40
2020-08-20,Southern,NA,28,0,0
2020-08-20,Northern,NA,56,0,0
2020-08-21,Southern,35,35,11,16
2020-08-21,Northern,60,61,19,28
2020-08-22,Southern,NA,35,0,0
2020-08-22,Northern,NA,61,0,0
2020-08-23,Southern,NA,35,0,0
2020-08-23,Northern,NA,61,0,0
2020-08-24,Southern,21,33,7,10
2020-08-24,Northern,38,58,12,17
2020-08-25,Southern,NA,33,0,0
2020-08-25,Northern,NA,58,0,0
2020-08-26,Southern,31,28,10,15
2020-08-26,Northern,48,48,15,22
2020-08-27,Southern,NA,28,0,0
2020-08-27,Northern,NA,48,0,0
2020-08-28,Southern,38,29,12,17
2020-08-28,Northern,60,48,19,27
2020-08-29,Southern,NA,29,0,0
2020-08-29,Northern,NA,48,0,0
2020-08-30,Southern,NA,29,0,0
2020-08-30,Northern,NA,48,0,0
2020-08-31,Southern,47,38,15,22
2020-08-31,Northern,61,56,19,28
2020-09-01,Southern,NA,38,0,0
2020-09-01,Northern,NA,56,0,0
2020-09-02,Southern,54,46,17,25
2020-09-02,Northern,144,81,46,67
2020-09-03,Southern,NA,46,0,0
2020-09-03,Northern,NA,81,0,0
2020-09-04,Southern,52,51,17,24
2020-09-04,Northern,138,107,44,64
2020-09-05,Southern,NA,51,0,0
2020-09-05,Northern,NA,107,0,0
2020-09-06,Southern,NA,51,0,0
2020-09-06,Northern,NA,107,0,0
2020-09-07,Southern,65,57,20,30
2020-09-07,Northern,59,105,19,27
2020-09-08,Southern,NA,57,0,0
2020-09-08,Northern,NA,105,0,0
2020-09-09,Southern,71,62,22,33
2020-09-09,Northern,46,72,15,21
2020-09-10,Southern,38,55,12,17
2020-09-10,Northern,59,69,19,27
2020-09-11,Southern,52,55,17,24
2020-09-11,Northern,46,52,15,21
2020-09-12,Southern,19,44,6,9
2020-09-12,Northern,51,52,16,24
2020-09-13,Southern,25,40,8,11
2020-09-13,Northern,44,51,14,20
2020-09-14,Southern,27,35,8,12
2020-09-14,Northern,49,49,15,22
2020-09-15,Southern,70,38,22,32
2020-09-15,Northern,45,48,14,21
2020-09-16,Southern,68,38,21,31
2020-09-16,Northern,48,49,15,22
2020-09-17,Southern,36,38,11,17
2020-09-17,Northern,54,48,17,25
2020-09-18,Southern,45,37,14,21
2020-09-18,Northern,75,51,24,34
2020-09-19,Southern,53,43,17,24
2020-09-19,Northern,31,48,10,14
2020-09-20,Southern,85,51,27,39
2020-09-20,Northern,32,46,10,15
2020-09-21,Southern,61,58,19,28
2020-09-21,Northern,24,41,7,11
2020-09-22,Southern,41,53,13,19
2020-09-22,Northern,44,41,14,20
2020-09-23,Southern,46,51,15,21
2020-09-23,Northern,41,40,13,19
2020-09-24,Southern,46,52,15,21
2020-09-24,Northern,31,37,10,14
2020-09-25,Southern,60,55,19,28
2020-09-25,Northern,34,33,11,16
2020-09-26,Southern,NA,55,0,0
2020-09-26,Northern,NA,34,0,0
2020-09-27,Southern,NA,50,0,0
2020-09-27,Northern,NA,34,0,0
2020-09-28,Southern,46,47,15,21
2020-09-28,Northern,43,38,14,20
2020-09-29,Southern,NA,49,0,0
2020-09-29,Northern,NA,37,0,0
2020-09-30,Southern,58,52,18,27
2020-09-30,Northern,21,31,7,10
2020-10-01,Southern,NA,54,0,0
2020-10-01,Northern,NA,31,0,0
2020-10-02,Southern,68,57,22,32
2020-10-02,Northern,34,31,11,16
2020-10-03,Southern,NA,57,0,0
2020-10-03,Northern,NA,31,0,0
2020-10-04,Southern,NA,57,0,0
2020-10-04,Northern,NA,31,0,0
2020-10-05,Southern,63,63,20,29
2020-10-05,Northern,38,30,12,17
2020-10-06,Southern,NA,63,0,0
2020-10-06,Northern,NA,30,0,0
2020-10-07,Southern,59,63,19,27
2020-10-07,Northern,70,45,22,33
2020-10-08,Southern,NA,63,0,0
2020-10-08,Northern,NA,45,0,0
2020-10-09,Southern,66,63,21,31
2020-10-09,Northern,56,53,18,26
2020-10-10,Southern,NA,63,0,0
2020-10-10,Northern,NA,53,0,0
2020-10-11,Southern,NA,63,0,0
2020-10-11,Northern,NA,53,0,0
2020-10-12,Southern,63,63,20,29
2020-10-12,Northern,52,59,16,24
2020-10-13,Southern,NA,63,0,0
2020-10-13,Northern,NA,59,0,0
2020-10-14,Southern,103,76,32,47
2020-10-14,Northern,71,59,22,33
2020-10-15,Southern,NA,76,0,0
2020-10-15,Northern,NA,59,0,0
2020-10-16,Southern,105,88,33,49
2020-10-16,Northern,101,72,32,46
2020-10-17,Southern,NA,88,0,0
2020-10-17,Northern,NA,72,0,0
2020-10-18,Southern,121,95,38,56
2020-10-18,Northern,263,99,83,121
2020-10-19,Southern,259,136,82,120
2020-10-19,Northern,116,122,37,54
2020-10-20,Southern,175,143,55,81
2020-10-20,Northern,130,123,41,60
2020-10-21,Southern,271,173,86,125
2020-10-21,Northern,95,131,30,44
2020-10-22,Southern,214,179,68,99
2020-10-22,Northern,131,131,42,61
2020-10-23,Southern,120,183,38,55
2020-10-23,Northern,103,131,33,48
2020-10-24,Southern,118,172,37,54
2020-10-24,Northern,132,132,42,61
2020-10-25,Southern,179,182,57,83
2020-10-25,Northern,126,118,40,58
2020-10-26,Southern,120,163,38,55
2020-10-26,Northern,120,119,38,55
2020-10-27,Southern,173,163,55,80
2020-10-27,Northern,129,119,41,60
2020-10-28,Southern,156,150,49,72
2020-10-28,Northern,190,131,60,88
2020-10-29,Southern,92,133,29,43
2020-10-29,Northern,97,126,31,45
2020-10-30,Southern,134,135,42,62
2020-10-30,Northern,201,138,64,93
2020-10-31,Southern,68,125,21,31
2020-10-31,Northern,148,140,47,68
2020-11-01,Southern,145,122,46,67
2020-11-01,Northern,139,142,44,64
2020-11-02,Southern,181,129,57,84
2020-11-02,Northern,186,151,59,86
2020-11-03,Southern,256,136,81,118
2020-11-03,Northern,317,172,100,146
2020-11-04,Southern,177,139,56,82
2020-11-04,Northern,183,171,58,85
2020-11-05,Southern,269,162,85,124
2020-11-05,Northern,354,206,112,163
2020-11-06,Southern,206,172,65,95
2020-11-06,Northern,207,207,65,96
2020-11-07,Southern,240,206,76,111
2020-11-07,Northern,221,219,70,102
2020-11-08,Southern,270,225,85,125
2020-11-08,Northern,322,247,102,149
2020-11-09,Southern,273,239,86,126
2020-11-09,Northern,226,254,71,105
2020-11-10,Southern,291,243,92,135
2020-11-10,Northern,339,257,107,157
2020-11-11,Southern,244,255,77,113
2020-11-11,Northern,396,287,125,183
2020-11-12,Southern,341,263,108,158
2020-11-12,Northern,318,282,101,147
2020-11-13,Southern,255,272,81,118
2020-11-13,Northern,301,298,95,139
2020-11-14,Southern,359,288,114,166
2020-11-14,Northern,313,313,99,145
2020-11-15,Southern,382,302,121,177
2020-11-15,Northern,286,307,90,132
2020-11-16,Southern,300,307,95,139
2020-11-16,Northern,311,322,98,143
2020-11-17,Southern,428,324,135,198
2020-11-17,Northern,412,331,130,190
2020-11-18,Southern,380,345,120,176
2020-11-18,Northern,353,325,112,163
2020-11-19,Southern,211,322,67,97
2020-11-19,Northern,384,334,121,177
2020-11-20,Southern,305,330,96,141
2020-11-20,Northern,371,344,117,171
2020-11-21,Southern,270,317,85,125
2020-11-21,Northern,385,355,122,178
2020-11-22,Southern,411,320,130,190
2020-11-22,Northern,435,377,138,201
2020-11-23,Southern,553,350,175,256
2020-11-23,Northern,267,369,84,123
2020-11-24,Southern,526,360,166,243
2020-11-24,Northern,518,381,164,239
2020-11-25,Southern,497,374,157,230
2020-11-25,Northern,459,395,145,212
2020-11-26,Southern,1052,471,333,486
2020-11-26,Northern,495,410,156,229
2020-11-27,Southern,568,515,179,262
2020-11-27,Northern,561,435,177,259
2020-11-28,Southern,748,595,236,346
2020-11-28,Northern,546,457,173,252
2020-11-29,Southern,646,635,204,299
2020-11-29,Northern,520,469,164,240
2020-11-30,Southern,771,666,244,356
2020-11-30,Northern,675,536,213,312
2020-12-01,Southern,537,668,170,248
2020-12-01,Northern,862,576,272,398
2020-12-02,Southern,431,655,136,199
2020-12-02,Northern,857,630,271,396
2020-12-03,Southern,824,632,260,381
2020-12-03,Northern,888,685,280,410
2020-12-04,Southern,1578,732,499,729
2020-12-04,Northern,1384,779,438,640
2020-12-05,Southern,647,716,204,299
2020-12-05,Northern,956,844,302,441
2020-12-06,Southern,1042,767,329,481
2020-12-06,Northern,1035,931,327,478
2020-12-07,Southern,1135,811,359,524
2020-12-07,Northern,1219,1013,385,563
2020-12-08,Southern,827,862,261,382
2020-12-08,Northern,725,988,229,335
2020-12-09,Southern,784,939,248,362
2020-12-09,Northern,629,945,199,291
2020-12-10,Southern,954,959,301,441
2020-12-10,Northern,812,933,257,375
2020-12-11,Southern,882,883,279,408
2020-12-11,Northern,1146,909,362,529
2020-12-12,Southern,764,904,241,353
2020-12-12,Northern,1023,918,323,473
2020-12-13,Southern,1013,900,320,468
2020-12-13,Northern,1356,954,428,626
2020-12-14,Southern,1272,915,402,588
2020-12-14,Northern,1195,951,378,552
2020-12-15,Southern,790,909,249,365
2020-12-15,Northern,202,792,64,93
2020-12-16,Southern,922,930,292,426
2020-12-16,Northern,877,831,277,405
2020-12-17,Southern,1143,955,361,528
2020-12-17,Northern,1111,869,351,513
2020-12-18,Southern,793,940,250,366
2020-12-18,Northern,1048,858,331,484
2020-12-19,Southern,674,924,213,311
2020-12-19,Northern,1176,875,372,543
2020-12-20,Southern,950,915,300,439
2020-12-20,Northern,897,825,284,415
2020-12-21,Southern,923,874,292,426
2020-12-21,Northern,775,775,245,358
2020-12-22,Southern,999,904,316,462
2020-12-22,Northern,995,974,315,460
2020-12-23,Southern,1058,922,334,489
2020-12-23,Northern,841,968,266,389
2020-12-24,Southern,844,883,267,390
2020-12-24,Northern,985,952,311,455
2020-12-25,Southern,851,892,269,393
2020-12-25,Northern,907,932,287,419
2020-12-26,Southern,531,862,168,245
2020-12-26,Northern,551,836,174,255
2020-12-27,Southern,309,734,97,143
2020-12-27,Northern,1208,873,382,558
2020-12-28,Southern,813,721,257,375
2020-12-28,Northern,1448,954,458,669
2020-12-29,Southern,1014,722,321,469
2020-12-29,Northern,774,921,245,358
2020-12-30,Southern,922,708,291,426
2020-12-30,Northern,1451,995,458,670
2020-12-31,Southern,831,707,263,384
2020-12-31,Northern,792,965,250,366
2021-01-01,Southern,733,692,232,339
2021-01-01,Northern,473,879,149,219
2021-01-02,Southern,820,736,259,379
2021-01-02,Northern,367,829,116,169
2021-01-03,Southern,1120,885,354,517
2021-01-03,Northern,395,707,125,183
2021-01-04,Southern,1154,931,365,533
2021-01-04,Northern,546,615,172,252
2021-01-05,Southern,972,925,307,449
2021-01-05,Northern,942,632,298,435
2021-01-06,Southern,1323,974,418,611
2021-01-06,Northern,1061,605,335,490
2021-01-07,Southern,1061,1008,335,490
2021-01-07,Northern,1051,630,332,485
2021-01-08,Southern,1747,1141,552,807
2021-01-08,Northern,1329,730,420,614
2021-01-09,Southern,1803,1278,570,833
2021-01-09,Northern,1411,885,446,652
2021-01-10,Southern,1717,1358,543,793
2021-01-10,Northern,1180,1034,373,545
2021-01-11,Southern,2069,1476,654,956
2021-01-11,Northern,1013,1130,320,468
2021-01-12,Southern,902,1460,285,417
2021-01-12,Northern,920,1126,291,425
2021-01-13,Southern,1122,1426,354,518
2021-01-13,Northern,983,1114,311,454
2021-01-14,Southern,943,1403,298,436
2021-01-14,Northern,951,1098,300,439
2021-01-15,Southern,750,1243,237,347
2021-01-15,Northern,1112,1071,351,514
2021-01-16,Southern,971,1138,307,449
2021-01-16,Northern,672,963,212,310
2021-01-17,Southern,959,1047,303,443
2021-01-17,Northern,581,870,184,269
2021-01-18,Southern,1141,962,360,527
2021-01-18,Northern,603,808,191,279
2021-01-19,Southern,1255,1008,396,580
2021-01-19,Northern,966,814,305,446
2021-01-20,Southern,619,926,196,286
2021-01-20,Northern,422,721,134,195
2021-01-21,Southern,494,844,156,228
2021-01-21,Northern,591,674,187,273
2021-01-22,Southern,670,831,212,310
2021-01-22,Northern,690,629,218,319
2021-01-23,Southern,1085,844,343,501
2021-01-23,Northern,866,653,274,400
2021-01-24,Southern,1777,922,561,821
2021-01-24,Northern,663,665,210,306
2021-01-25,Southern,3772,1094,1192,1743
2021-01-25,Northern,631,669,199,291
2021-01-26,Southern,708,1008,224,327
2021-01-26,Northern,290,564,92,134
2021-01-27,Southern,269,894,85,124
2021-01-27,Northern,350,549,111,162
2021-01-28,Southern,747,949,236,345
2021-01-28,Northern,421,523,133,195
2021-01-29,Southern,706,956,223,326
2021-01-29,Northern,329,470,104,152
2021-01-30,Southern,465,847,147,215
2021-01-30,Northern,490,434,155,226
2021-01-31,Southern,444,695,140,205
2021-01-31,Northern,397,403,125,183
2021-02-01,Southern,499,520,158,231
2021-02-01,Northern,363,372,115,168
2021-02-02,Southern,422,483,133,195
2021-02-02,Northern,274,369,87,127
2021-02-03,Southern,360,504,114,166
2021-02-03,Northern,283,358,89,131
2021-02-04,Southern,360,454,114,166
2021-02-04,Northern,249,332,79,115
2021-02-05,Southern,270,396,85,125
2021-02-05,Northern,366,338,116,169
2021-02-06,Southern,519,402,164,240
2021-02-06,Northern,434,332,137,200
2021-02-07,Southern,750,433,237,346
2021-02-07,Northern,295,318,93,136
2021-02-08,Southern,492,432,155,227
2021-02-08,Northern,412,324,130,190
2021-02-09,Southern,347,420,110,160
2021-02-09,Northern,315,330,100,146
2021-02-10,Southern,213,390,67,98
2021-02-10,Northern,225,320,71,104
2021-02-11,Southern,471,405,149,218
2021-02-11,Northern,382,340,121,177
2021-02-12,Southern,286,409,90,132
2021-02-12,Northern,358,339,113,165
2021-02-13,Southern,265,371,84,123
2021-02-13,Northern,285,319,90,131
2021-02-14,Southern,543,355,172,251
2021-02-14,Northern,283,317,89,131
2021-02-15,Southern,500,355,158,231
2021-02-15,Northern,155,276,49,72
2021-02-16,Southern,663,390,210,306
2021-02-16,Northern,190,257,60,88
2021-02-17,Southern,326,414,103,151
2021-02-17,Northern,232,258,73,107
2021-02-18,Southern,476,415,150,220
2021-02-18,Northern,412,261,130,190
2021-02-19,Southern,256,408,81,118
2021-02-19,Northern,579,279,183,268
